,编号,预测值,实际值,偏差
数据169,169.0,19.58,22.3,2.72
数据170,170.0,19.58,17.4,2.18
数据171,171.0,19.58,19.1,0.48
数据172,172.0,4.05,23.1,19.05
数据173,173.0,4.05,23.6,19.55
数据174,174.0,4.05,22.6,18.55
数据175,175.0,4.05,29.4,25.35
数据176,176.0,4.05,23.2,19.15
数据177,177.0,4.05,24.6,20.55
数据178,178.0,4.05,29.9,25.85
数据179,179.0,2.46,37.2,34.74
数据180,180.0,2.46,39.8,37.34
数据181,181.0,2.46,36.2,33.74
数据182,182.0,2.46,37.9,35.44
数据183,183.0,2.46,32.5,30.04
数据184,184.0,2.46,26.4,23.94
数据185,185.0,2.46,29.6,27.14
数据186,186.0,2.46,50.0,47.54
数据187,187.0,3.44,32.0,28.56
数据188,188.0,3.44,29.8,26.36
数据189,189.0,3.44,34.9,31.46
数据190,190.0,3.44,37.0,33.56
数据191,191.0,3.44,30.5,27.06
数据192,192.0,3.44,36.4,32.96
数据193,193.0,2.93,31.1,28.17
数据194,194.0,2.93,29.1,26.17
数据195,195.0,0.46,50.0,49.54
数据196,196.0,1.52,33.3,31.78
数据197,197.0,1.52,30.3,28.78
数据198,198.0,1.52,34.6,33.08
数据199,199.0,1.47,34.9,33.43
数据200,200.0,1.47,32.9,31.43
数据201,201.0,2.03,24.1,22.07
数据202,202.0,2.03,42.3,40.27
数据203,203.0,2.68,48.5,45.82
数据204,204.0,2.68,50.0,47.32
数据205,205.0,10.59,22.6,12.01
数据206,206.0,10.59,24.4,13.81
数据207,207.0,10.59,22.5,11.91
数据208,208.0,10.59,24.4,13.81
数据209,209.0,10.59,20.0,9.41
数据210,210.0,10.59,21.7,11.11
数据211,211.0,10.59,19.3,8.71
数据212,212.0,10.59,22.4,11.81
数据213,213.0,10.59,28.1,17.51
数据214,214.0,10.59,23.7,13.11
数据215,215.0,10.59,25.0,14.41
数据216,216.0,13.89,23.3,9.41
数据217,217.0,13.89,28.7,14.81
数据218,218.0,13.89,21.5,7.61
数据219,219.0,13.89,23.0,9.11
数据220,220.0,6.2,26.7,20.5
数据221,221.0,6.2,21.7,15.5
数据222,222.0,6.2,27.5,21.3
数据223,223.0,6.2,30.1,23.9
数据224,224.0,6.2,44.8,38.6
数据225,225.0,6.2,50.0,43.8
数据226,226.0,6.2,37.6,31.4
数据227,227.0,6.2,31.6,25.4
数据228,228.0,6.2,46.7,40.5
数据229,229.0,6.2,31.5,25.3
数据230,230.0,6.2,24.3,18.1
数据231,231.0,6.2,31.7,25.5
数据232,232.0,6.2,41.7,35.5
数据233,233.0,6.2,48.3,42.1
数据234,234.0,6.2,29.0,22.8
数据235,235.0,6.2,24.0,17.8
数据236,236.0,6.2,25.1,18.9
数据237,237.0,6.2,31.5,25.3
数据238,238.0,4.93,23.7,18.77
数据239,239.0,4.93,23.3,18.37
数据240,240.0,4.93,22.0,17.07
数据241,241.0,4.93,20.1,15.17
数据242,242.0,4.93,22.2,17.27
数据243,243.0,4.93,23.7,18.77
数据244,244.0,5.86,17.6,11.74
数据245,245.0,5.86,18.5,12.64
数据246,246.0,5.86,24.3,18.44
数据247,247.0,5.86,20.5,14.64
数据248,248.0,5.86,24.5,18.64
数据249,249.0,5.86,26.2,20.34
数据250,250.0,5.86,24.4,18.54
数据251,251.0,5.86,24.8,18.94
数据252,252.0,5.86,29.6,23.74
数据253,253.0,5.86,42.8,36.94
数据254,254.0,3.64,21.9,18.26
数据255,255.0,3.64,20.9,17.26
数据256,256.0,3.75,44.0,40.25
数据257,257.0,3.97,50.0,46.03
数据258,258.0,3.97,36.0,32.03
数据259,259.0,3.97,30.1,26.13
数据260,260.0,3.97,33.8,29.83
数据261,261.0,3.97,43.1,39.13
数据262,262.0,3.97,48.8,44.83
数据263,263.0,3.97,31.0,27.03
数据264,264.0,3.97,36.5,32.53
数据265,265.0,3.97,22.8,18.83
数据266,266.0,3.97,30.7,26.73
数据267,267.0,3.97,50.0,46.03
数据268,268.0,3.97,43.5,39.53
数据269,269.0,6.96,20.7,13.74
数据270,270.0,6.96,21.1,14.14
数据271,271.0,6.96,25.2,18.24
数据272,272.0,6.96,24.4,17.44
数据273,273.0,6.96,35.2,28.24
数据274,274.0,6.41,32.4,25.99
数据275,275.0,6.41,32.0,25.59
数据276,276.0,6.41,33.2,26.79
数据277,277.0,6.41,33.1,26.69
数据278,278.0,6.41,29.1,22.69
数据279,279.0,3.33,35.1,31.77
数据280,280.0,3.33,45.4,42.07
数据281,281.0,3.33,35.4,32.07
数据282,282.0,3.33,46.0,42.67
数据283,283.0,1.21,50.0,48.79
数据284,284.0,2.97,32.2,29.23
数据285,285.0,2.25,22.0,19.75
数据286,286.0,1.76,20.1,18.34
数据287,287.0,5.32,23.2,17.88
数据288,288.0,5.32,22.3,16.98
数据289,289.0,5.32,24.8,19.48
数据290,290.0,4.95,28.5,23.55
数据291,291.0,4.95,37.3,32.35
数据292,292.0,4.95,27.9,22.95
数据293,293.0,13.92,23.9,9.98
数据294,294.0,13.92,21.7,7.78
数据295,295.0,13.92,28.6,14.68
数据296,296.0,13.92,27.1,13.18
数据297,297.0,13.92,20.3,6.38
数据298,298.0,2.24,22.5,20.26
数据299,299.0,2.24,29.0,26.76
数据300,300.0,2.24,24.8,22.56
数据301,301.0,6.09,22.0,15.91
数据302,302.0,6.09,26.4,20.31
数据303,303.0,6.09,33.1,27.01
数据304,304.0,2.18,36.1,33.92
数据305,305.0,2.18,28.4,26.22
数据306,306.0,2.18,33.4,31.22
数据307,307.0,2.18,28.2,26.02
数据308,308.0,9.9,22.8,12.9
数据309,309.0,9.9,20.3,10.4
数据310,310.0,9.9,16.1,6.2
数据311,311.0,9.9,22.1,12.2
数据312,312.0,9.9,19.4,9.5
数据313,313.0,9.9,21.6,11.7
数据314,314.0,9.9,23.8,13.9
数据315,315.0,9.9,16.2,6.3
数据316,316.0,9.9,17.8,7.9
数据317,317.0,9.9,19.8,9.9
数据318,318.0,9.9,23.1,13.2
数据319,319.0,9.9,21.0,11.1
数据320,320.0,7.38,23.8,16.42
数据321,321.0,7.38,23.1,15.72
数据322,322.0,7.38,20.4,13.02
数据323,323.0,7.38,18.5,11.12
数据324,324.0,7.38,25.0,17.62
数据325,325.0,7.38,24.6,17.22
数据326,326.0,7.38,23.0,15.62
数据327,327.0,7.38,22.2,14.82
数据328,328.0,3.24,19.3,16.06
数据329,329.0,3.24,22.6,19.36
数据330,330.0,3.24,19.8,16.56
数据331,331.0,6.06,17.1,11.04
数据332,332.0,6.06,19.4,13.34
数据333,333.0,5.19,22.2,17.01
数据334,334.0,5.19,20.7,15.51
数据335,335.0,5.19,21.1,15.91
数据336,336.0,5.19,19.5,14.31
数据337,337.0,5.19,18.5,13.31
数据338,338.0,5.19,20.6,15.41
数据339,339.0,5.19,19.0,13.81
数据340,340.0,5.19,18.7,13.51
数据341,341.0,1.52,32.7,31.18
数据342,342.0,1.89,16.5,14.61
数据343,343.0,3.78,23.9,20.12
数据344,344.0,3.78,31.2,27.42
数据345,345.0,4.39,17.5,13.11
数据346,346.0,4.39,17.2,12.81
数据347,347.0,4.15,23.1,18.95
数据348,348.0,2.01,24.5,22.49
数据349,349.0,1.25,26.6,25.35
数据350,350.0,1.25,22.9,21.65
数据351,351.0,1.69,24.1,22.41
数据352,352.0,1.69,18.6,16.91
数据353,353.0,2.02,30.1,28.08
数据354,354.0,1.91,18.2,16.29
数据355,355.0,1.91,20.6,18.69
数据356,356.0,18.1,17.8,0.3
数据357,357.0,18.1,21.7,3.6
数据358,358.0,18.1,22.7,4.6
数据359,359.0,18.1,22.6,4.5
数据360,360.0,18.1,25.0,6.9
数据361,361.0,18.1,19.9,1.8
数据362,362.0,18.1,20.8,2.7
数据363,363.0,18.1,16.8,1.3
数据364,364.0,18.1,21.9,3.8
数据365,365.0,18.1,27.5,9.4
数据366,366.0,18.1,21.9,3.8
数据367,367.0,18.1,23.1,5.0
数据368,368.0,18.1,50.0,31.9
数据369,369.0,18.1,50.0,31.9
数据370,370.0,18.1,50.0,31.9
数据371,371.0,18.1,50.0,31.9
数据372,372.0,18.1,50.0,31.9
数据373,373.0,18.1,13.8,4.3
数据374,374.0,18.1,13.8,4.3
数据375,375.0,18.1,15.0,3.1
数据376,376.0,18.1,13.9,4.2
数据377,377.0,18.1,13.3,4.8
数据378,378.0,18.1,13.1,5.0
数据379,379.0,18.1,10.2,7.9
数据380,380.0,18.1,10.4,7.7
数据381,381.0,18.1,10.9,7.2
数据382,382.0,18.1,11.3,6.8
数据383,383.0,18.1,12.3,5.8
数据384,384.0,18.1,8.8,9.3
数据385,385.0,18.1,7.2,10.9
数据386,386.0,18.1,10.5,7.6
数据387,387.0,18.1,7.4,10.7
数据388,388.0,18.1,10.2,7.9
数据389,389.0,18.1,11.5,6.6
数据390,390.0,18.1,15.1,3.0
数据391,391.0,18.1,23.2,5.1
数据392,392.0,18.1,9.7,8.4
数据393,393.0,18.1,13.8,4.3
数据394,394.0,18.1,12.7,5.4
数据395,395.0,18.1,13.1,5.0
数据396,396.0,18.1,12.5,5.6
数据397,397.0,18.1,8.5,9.6
数据398,398.0,18.1,5.0,13.1
数据399,399.0,18.1,6.3,11.8
数据400,400.0,18.1,5.6,12.5
数据401,401.0,18.1,7.2,10.9
数据402,402.0,18.1,12.1,6.0
数据403,403.0,18.1,8.3,9.8
数据404,404.0,18.1,8.5,9.6
数据405,405.0,18.1,5.0,13.1
数据406,406.0,18.1,11.9,6.2
数据407,407.0,18.1,27.9,9.8
数据408,408.0,18.1,17.2,0.9
数据409,409.0,18.1,27.5,9.4
数据410,410.0,18.1,15.0,3.1
数据411,411.0,18.1,17.2,0.9
数据412,412.0,18.1,17.9,0.2
数据413,413.0,18.1,16.3,1.8
数据414,414.0,18.1,7.0,11.1
数据415,415.0,18.1,7.2,10.9
数据416,416.0,18.1,7.5,10.6
数据417,417.0,18.1,10.4,7.7
数据418,418.0,18.1,8.8,9.3
数据419,419.0,18.1,8.4,9.7
数据420,420.0,18.1,16.7,1.4
数据421,421.0,18.1,14.2,3.9
数据422,422.0,18.1,20.8,2.7
数据423,423.0,18.1,13.4,4.7
数据424,424.0,18.1,11.7,6.4
数据425,425.0,18.1,8.3,9.8
数据426,426.0,18.1,10.2,7.9
数据427,427.0,18.1,10.9,7.2
数据428,428.0,18.1,11.0,7.1
数据429,429.0,18.1,9.5,8.6
数据430,430.0,18.1,14.5,3.6
数据431,431.0,18.1,14.1,4.0
数据432,432.0,18.1,16.1,2.0
数据433,433.0,18.1,14.3,3.8
数据434,434.0,18.1,11.7,6.4
数据435,435.0,18.1,13.4,4.7
数据436,436.0,18.1,9.6,8.5
数据437,437.0,18.1,8.7,9.4
数据438,438.0,18.1,8.4,9.7
数据439,439.0,18.1,12.8,5.3
数据440,440.0,18.1,10.5,7.6
数据441,441.0,18.1,17.1,1.0
数据442,442.0,18.1,18.4,0.3
数据443,443.0,18.1,15.4,2.7
数据444,444.0,18.1,10.8,7.3
数据445,445.0,18.1,11.8,6.3
数据446,446.0,18.1,14.9,3.2
数据447,447.0,18.1,12.6,5.5
数据448,448.0,18.1,14.1,4.0
数据449,449.0,18.1,13.0,5.1
数据450,450.0,18.1,13.4,4.7
数据451,451.0,18.1,15.2,2.9
数据452,452.0,18.1,16.1,2.0
数据453,453.0,18.1,17.8,0.3
数据454,454.0,18.1,14.9,3.2
数据455,455.0,18.1,14.1,4.0
数据456,456.0,18.1,12.7,5.4
数据457,457.0,18.1,13.5,4.6
数据458,458.0,18.1,14.9,3.2
数据459,459.0,18.1,20.0,1.9
数据460,460.0,18.1,16.4,1.7
数据461,461.0,18.1,17.7,0.4
数据462,462.0,18.1,19.5,1.4
数据463,463.0,18.1,20.2,2.1
数据464,464.0,18.1,21.4,3.3
数据465,465.0,18.1,19.9,1.8
数据466,466.0,18.1,19.0,0.9
数据467,467.0,18.1,19.1,1.0
数据468,468.0,18.1,19.1,1.0
数据469,469.0,18.1,20.1,2.0
数据470,470.0,18.1,19.9,1.8
数据471,471.0,18.1,19.6,1.5
数据472,472.0,18.1,23.2,5.1
数据473,473.0,18.1,29.8,11.7
数据474,474.0,18.1,13.8,4.3
数据475,475.0,18.1,13.3,4.8
数据476,476.0,18.1,16.7,1.4
数据477,477.0,18.1,12.0,6.1
数据478,478.0,18.1,14.6,3.5
数据479,479.0,18.1,21.4,3.3
数据480,480.0,18.1,23.0,4.9
数据481,481.0,18.1,23.7,5.6
数据482,482.0,18.1,25.0,6.9
数据483,483.0,18.1,21.8,3.7
数据484,484.0,18.1,20.6,2.5
数据485,485.0,18.1,21.2,3.1
数据486,486.0,18.1,19.1,1.0
数据487,487.0,18.1,20.6,2.5
数据488,488.0,27.74,15.2,12.54
数据489,489.0,27.74,7.0,20.74
数据490,490.0,27.74,8.1,19.64
数据491,491.0,27.74,13.6,14.14
数据492,492.0,27.74,20.1,7.64
数据493,493.0,9.69,21.8,12.11
数据494,494.0,9.69,24.5,14.81
数据495,495.0,9.69,23.1,13.41
数据496,496.0,9.69,19.7,10.01
数据497,497.0,9.69,18.3,8.61
数据498,498.0,9.69,21.2,11.51
数据499,499.0,9.69,17.5,7.81
数据500,500.0,9.69,16.8,7.11
数据501,501.0,11.93,22.4,10.47
数据502,502.0,11.93,20.6,8.67
数据503,503.0,11.93,23.9,11.97
数据504,504.0,11.93,22.0,10.07
数据505,505.0,11.93,11.9,0.03
