,编号,预测值,实际值,偏差
数据261,261.0,4.831,43.1,38.269
数据262,262.0,4.817,48.8,43.983
数据263,263.0,4.895,31.0,26.105
数据264,264.0,4.847,36.5,31.653
数据265,265.0,4.889,22.8,17.911
数据266,266.0,4.884,30.7,25.816
数据267,267.0,4.826,50.0,45.174
数据268,268.0,4.777,43.5,38.723
数据269,269.0,4.84,20.7,15.86
数据270,270.0,3.361,21.1,17.739
数据271,271.0,3.652,25.2,21.548
数据272,272.0,4.443,24.4,19.957
数据273,273.0,3.506,35.2,31.694
数据274,274.0,95.78,32.4,63.38
数据275,275.0,19.677,32.0,12.323
数据276,276.0,8.98,33.2,24.22
数据277,277.0,11.672,33.1,21.428
数据278,278.0,39.943,29.1,10.843
数据279,279.0,3.669,35.1,31.431
数据280,280.0,-18.546,45.4,63.946
数据281,281.0,33.019,35.4,2.381
数据282,282.0,25.374,46.0,20.626
数据283,283.0,4.078,50.0,45.922
数据284,284.0,4.931,32.2,27.269
数据285,285.0,2.991,22.0,19.009
数据286,286.0,2.46,20.1,17.64
数据287,287.0,21.507,23.2,1.693
数据288,288.0,19.086,22.3,3.214
数据289,289.0,20.918,24.8,3.882
数据290,290.0,24.519,28.5,3.981
数据291,291.0,13.136,37.3,24.164
数据292,292.0,23.881,27.9,4.019
数据293,293.0,4.0,23.9,19.9
数据294,294.0,4.0,21.7,17.7
数据295,295.0,4.0,28.6,24.6
数据296,296.0,4.0,27.1,23.1
数据297,297.0,4.0,20.3,16.3
数据298,298.0,10.187,22.5,12.313
数据299,299.0,10.976,29.0,18.024
数据300,300.0,12.149,24.8,12.651
数据301,301.0,-4.23,22.0,26.23
数据302,302.0,2.567,26.4,23.833
数据303,303.0,2.964,33.1,30.136
数据304,304.0,3.437,36.1,32.663
数据305,305.0,4.056,28.4,24.344
数据306,306.0,5.015,33.4,28.385
数据307,307.0,3.918,28.2,24.282
数据308,308.0,4.0,22.8,18.8
数据309,309.0,4.0,20.3,16.3
数据310,310.0,4.0,16.1,12.1
数据311,311.0,4.0,22.1,18.1
数据312,312.0,4.0,19.4,15.4
数据313,313.0,4.0,21.6,17.6
数据314,314.0,4.0,23.8,19.8
数据315,315.0,4.0,16.2,12.2
数据316,316.0,4.0,17.8,13.8
数据317,317.0,4.0,19.8,15.8
数据318,318.0,4.0,23.1,19.1
数据319,319.0,4.0,21.0,17.0
数据320,320.0,5.0,23.8,18.8
数据321,321.0,5.0,23.1,18.1
数据322,322.0,5.0,20.4,15.4
数据323,323.0,5.0,18.5,13.5
数据324,324.0,5.0,25.0,20.0
数据325,325.0,5.0,24.6,19.6
数据326,326.0,5.0,23.0,18.0
数据327,327.0,5.0,22.2,17.2
数据328,328.0,4.0,19.3,15.3
数据329,329.0,4.0,22.6,18.6
数据330,330.0,4.0,19.8,15.8
数据331,331.0,1.313,17.1,15.787
数据332,332.0,1.492,19.4,17.908
数据333,333.0,5.0,22.2,17.2
数据334,334.0,5.0,20.7,15.7
数据335,335.0,5.0,21.1,16.1
数据336,336.0,5.0,19.5,14.5
数据337,337.0,5.0,18.5,13.5
数据338,338.0,5.0,20.6,15.6
数据339,339.0,5.0,19.0,14.0
数据340,340.0,5.0,18.7,13.7
数据341,341.0,2.119,32.7,30.581
数据342,342.0,1.0,16.5,15.5
数据343,343.0,42.028,23.9,18.128
数据344,344.0,20.796,31.2,10.404
数据345,345.0,3.0,17.5,14.5
数据346,346.0,3.0,17.2,14.2
数据347,347.0,14.144,23.1,8.956
数据348,348.0,16.45,24.5,8.05
数据349,349.0,1.452,26.6,25.148
数据350,350.0,1.208,22.9,21.692
数据351,351.0,5.211,24.1,18.889
数据352,352.0,5.256,18.6,13.344
数据353,353.0,14.541,30.1,15.559
数据354,354.0,6.94,18.2,11.26
数据355,355.0,5.21,20.6,15.39
数据356,356.0,24.0,17.8,6.2
数据357,357.0,24.0,21.7,2.3
数据358,358.0,24.0,22.7,1.3
数据359,359.0,24.0,22.6,1.4
数据360,360.0,24.0,25.0,1.0
数据361,361.0,24.0,19.9,4.1
数据362,362.0,24.0,20.8,3.2
数据363,363.0,24.0,16.8,7.2
数据364,364.0,24.0,21.9,2.1
数据365,365.0,24.0,27.5,3.5
数据366,366.0,24.0,21.9,2.1
数据367,367.0,24.0,23.1,0.9
数据368,368.0,24.0,50.0,26.0
数据369,369.0,24.0,50.0,26.0
数据370,370.0,24.0,50.0,26.0
数据371,371.0,24.0,50.0,26.0
数据372,372.0,24.0,50.0,26.0
数据373,373.0,24.0,13.8,10.2
数据374,374.0,24.0,13.8,10.2
数据375,375.0,24.0,15.0,9.0
数据376,376.0,24.0,13.9,10.1
数据377,377.0,24.0,13.3,10.7
数据378,378.0,24.0,13.1,10.9
数据379,379.0,24.0,10.2,13.8
数据380,380.0,24.0,10.4,13.6
数据381,381.0,24.0,10.9,13.1
数据382,382.0,24.0,11.3,12.7
数据383,383.0,24.0,12.3,11.7
数据384,384.0,24.0,8.8,15.2
数据385,385.0,24.0,7.2,16.8
数据386,386.0,24.0,10.5,13.5
数据387,387.0,24.0,7.4,16.6
数据388,388.0,24.0,10.2,13.8
数据389,389.0,24.0,11.5,12.5
数据390,390.0,24.0,15.1,8.9
数据391,391.0,24.0,23.2,0.8
数据392,392.0,24.0,9.7,14.3
数据393,393.0,24.0,13.8,10.2
数据394,394.0,24.0,12.7,11.3
数据395,395.0,24.0,13.1,10.9
数据396,396.0,24.0,12.5,11.5
数据397,397.0,24.0,8.5,15.5
数据398,398.0,24.0,5.0,19.0
数据399,399.0,24.0,6.3,17.7
数据400,400.0,24.0,5.6,18.4
数据401,401.0,24.0,7.2,16.8
数据402,402.0,24.0,12.1,11.9
数据403,403.0,24.0,8.3,15.7
数据404,404.0,24.0,8.5,15.5
数据405,405.0,24.0,5.0,19.0
数据406,406.0,24.0,11.9,12.1
数据407,407.0,24.0,27.9,3.9
数据408,408.0,24.0,17.2,6.8
数据409,409.0,24.0,27.5,3.5
数据410,410.0,24.0,15.0,9.0
数据411,411.0,24.0,17.2,6.8
数据412,412.0,24.0,17.9,6.1
数据413,413.0,24.0,16.3,7.7
数据414,414.0,24.0,7.0,17.0
数据415,415.0,24.0,7.2,16.8
数据416,416.0,24.0,7.5,16.5
数据417,417.0,24.0,10.4,13.6
数据418,418.0,24.0,8.8,15.2
数据419,419.0,24.0,8.4,15.6
数据420,420.0,24.0,16.7,7.3
数据421,421.0,24.0,14.2,9.8
数据422,422.0,24.0,20.8,3.2
数据423,423.0,24.0,13.4,10.6
数据424,424.0,24.0,11.7,12.3
数据425,425.0,24.0,8.3,15.7
数据426,426.0,24.0,10.2,13.8
数据427,427.0,24.0,10.9,13.1
数据428,428.0,24.0,11.0,13.0
数据429,429.0,24.0,9.5,14.5
数据430,430.0,24.0,14.5,9.5
数据431,431.0,24.0,14.1,9.9
数据432,432.0,24.0,16.1,7.9
数据433,433.0,24.0,14.3,9.7
数据434,434.0,24.0,11.7,12.3
数据435,435.0,24.0,13.4,10.6
数据436,436.0,24.0,9.6,14.4
数据437,437.0,24.0,8.7,15.3
数据438,438.0,24.0,8.4,15.6
数据439,439.0,24.0,12.8,11.2
数据440,440.0,24.0,10.5,13.5
数据441,441.0,24.0,17.1,6.9
数据442,442.0,24.0,18.4,5.6
数据443,443.0,24.0,15.4,8.6
数据444,444.0,24.0,10.8,13.2
数据445,445.0,24.0,11.8,12.2
数据446,446.0,24.0,14.9,9.1
数据447,447.0,24.0,12.6,11.4
数据448,448.0,24.0,14.1,9.9
数据449,449.0,24.0,13.0,11.0
数据450,450.0,24.0,13.4,10.6
数据451,451.0,24.0,15.2,8.8
数据452,452.0,24.0,16.1,7.9
数据453,453.0,24.0,17.8,6.2
数据454,454.0,24.0,14.9,9.1
数据455,455.0,24.0,14.1,9.9
数据456,456.0,24.0,12.7,11.3
数据457,457.0,24.0,13.5,10.5
数据458,458.0,24.0,14.9,9.1
数据459,459.0,24.0,20.0,4.0
数据460,460.0,24.0,16.4,7.6
数据461,461.0,24.0,17.7,6.3
数据462,462.0,24.0,19.5,4.5
数据463,463.0,24.0,20.2,3.8
数据464,464.0,24.0,21.4,2.6
数据465,465.0,24.0,19.9,4.1
数据466,466.0,24.0,19.0,5.0
数据467,467.0,24.0,19.1,4.9
数据468,468.0,24.0,19.1,4.9
数据469,469.0,24.0,20.1,3.9
数据470,470.0,24.0,19.9,4.1
数据471,471.0,24.0,19.6,4.4
数据472,472.0,24.0,23.2,0.8
数据473,473.0,24.0,29.8,5.8
数据474,474.0,24.0,13.8,10.2
数据475,475.0,24.0,13.3,10.7
数据476,476.0,24.0,16.7,7.3
数据477,477.0,24.0,12.0,12.0
数据478,478.0,24.0,14.6,9.4
数据479,479.0,24.0,21.4,2.6
数据480,480.0,24.0,23.0,1.0
数据481,481.0,24.0,23.7,0.3
数据482,482.0,24.0,25.0,1.0
数据483,483.0,24.0,21.8,2.2
数据484,484.0,24.0,20.6,3.4
数据485,485.0,24.0,21.2,2.8
数据486,486.0,24.0,19.1,4.9
数据487,487.0,24.0,20.6,3.4
数据488,488.0,4.0,15.2,11.2
数据489,489.0,4.0,7.0,3.0
数据490,490.0,4.0,8.1,4.1
数据491,491.0,4.0,13.6,9.6
数据492,492.0,4.0,20.1,16.1
数据493,493.0,6.0,21.8,15.8
数据494,494.0,6.0,24.5,18.5
数据495,495.0,6.0,23.1,17.1
数据496,496.0,6.0,19.7,13.7
数据497,497.0,6.0,18.3,12.3
数据498,498.0,6.0,21.2,15.2
数据499,499.0,6.0,17.5,11.5
数据500,500.0,6.0,16.8,10.8
数据501,501.0,1.0,22.4,21.4
数据502,502.0,1.0,20.6,19.6
数据503,503.0,1.0,23.9,22.9
数据504,504.0,1.0,22.0,21.0
数据505,505.0,1.0,11.9,10.9
