,编号,预测值,实际值,偏差
数据49,49.0,21.748,19.4,2.348
数据50,50.0,24.097,19.7,4.397
数据51,51.0,24.097,20.5,3.597
数据52,52.0,25.521,25.0,0.521
数据53,53.0,25.521,23.4,2.121
数据54,54.0,21.711,18.9,2.811
数据55,55.0,30.436,35.4,4.964
数据56,56.0,24.097,24.7,0.603
数据57,57.0,28.331,31.6,3.269
数据58,58.0,23.314,23.3,0.014
数据59,59.0,23.314,19.6,3.714
数据60,60.0,21.748,18.7,3.048
数据61,61.0,21.748,16.0,5.748
数据62,62.0,23.314,22.2,1.114
数据63,63.0,23.314,25.0,1.686
数据64,64.0,27.626,33.0,5.374
数据65,65.0,26.014,23.5,2.514
数据66,66.0,25.0,19.4,5.6
数据67,67.0,23.314,22.0,1.314
数据68,68.0,21.748,17.4,4.348
数据69,69.0,23.314,20.9,2.414
数据70,70.0,24.54,24.2,0.34
数据71,71.0,23.116,21.7,1.416
数据72,72.0,24.54,22.8,1.74
数据73,73.0,24.54,23.4,1.14
数据74,74.0,24.54,24.1,0.44
数据75,75.0,21.549,21.4,0.149
数据76,76.0,20.666,20.0,0.666
数据77,77.0,21.549,20.8,0.749
数据78,78.0,20.666,21.2,0.534
数据79,79.0,21.549,20.3,1.249
数据80,80.0,23.314,28.0,4.686
数据81,81.0,23.314,23.9,0.586
数据82,82.0,23.314,24.8,1.486
数据83,83.0,23.314,22.9,0.414
数据84,84.0,23.314,23.9,0.586
数据85,85.0,23.314,26.6,3.286
数据86,86.0,23.314,22.5,0.814
数据87,87.0,23.314,22.2,1.114
数据88,88.0,27.626,23.6,4.026
数据89,89.0,27.626,28.7,1.074
数据90,90.0,24.097,22.6,1.497
数据91,91.0,24.097,22.0,2.097
数据92,92.0,23.116,22.9,0.216
数据93,93.0,23.116,25.0,1.884
数据94,94.0,23.116,20.6,2.516
数据95,95.0,24.097,28.4,4.303
数据96,96.0,24.097,21.4,2.697
数据97,97.0,42.615,38.7,3.915
数据98,98.0,42.615,43.8,1.185
数据99,99.0,31.447,33.2,1.753
数据100,100.0,21.549,27.5,5.951
数据101,101.0,23.116,26.5,3.384
数据102,102.0,18.887,18.6,0.287
数据103,103.0,20.666,19.3,1.366
数据104,104.0,20.666,20.1,0.566
数据105,105.0,20.666,19.5,1.166
数据106,106.0,19.071,19.5,0.429
数据107,107.0,20.666,20.4,0.266
数据108,108.0,20.666,19.8,0.866
数据109,109.0,20.666,19.4,1.266
数据110,110.0,20.666,21.7,1.034
数据111,111.0,20.864,22.8,1.936
数据112,112.0,20.864,18.8,2.064
数据113,113.0,20.864,18.7,2.164
数据114,114.0,20.864,18.5,2.364
数据115,115.0,20.864,18.3,2.564
数据116,116.0,20.864,21.2,0.336
数据117,117.0,20.864,19.2,1.664
数据118,118.0,20.864,20.4,0.464
数据119,119.0,20.864,19.3,1.564
数据120,120.0,22.869,22.0,0.869
数据121,121.0,22.869,20.3,2.569
数据122,122.0,19.057,20.5,1.443
数据123,123.0,19.057,17.3,1.757
数据124,124.0,19.057,18.8,0.257
数据125,125.0,22.869,21.4,1.469
数据126,126.0,17.872,15.7,2.172
数据127,127.0,19.48,16.2,3.28
数据128,128.0,19.48,18.0,1.48
数据129,129.0,20.666,14.3,6.366
数据130,130.0,20.666,19.2,1.466
数据131,131.0,20.666,19.6,1.066
数据132,132.0,20.666,23.0,2.334
数据133,133.0,20.666,18.4,2.266
数据134,134.0,19.071,15.6,3.471
数据135,135.0,20.666,18.1,2.566
数据136,136.0,20.666,17.4,3.266
数据137,137.0,19.48,17.1,2.38
数据138,138.0,17.885,13.3,4.585
数据139,139.0,19.48,17.8,1.68
数据140,140.0,17.885,14.0,3.885
数据141,141.0,15.433,14.4,1.033
数据142,142.0,18.412,13.4,5.012
数据143,143.0,17.226,15.6,1.626
数据144,144.0,16.351,11.8,4.551
数据145,145.0,17.226,13.8,3.426
数据146,146.0,19.678,15.6,4.078
数据147,147.0,16.351,14.6,1.751
数据148,148.0,17.226,17.8,0.574
数据149,149.0,19.678,15.4,4.278
数据150,150.0,19.678,21.5,1.822
数据151,151.0,19.678,19.6,0.078
数据152,152.0,20.864,15.3,5.564
数据153,153.0,19.678,19.4,0.278
数据154,154.0,20.864,17.0,3.864
数据155,155.0,19.796,15.6,4.196
数据156,156.0,19.678,13.1,6.578
数据157,157.0,25.658,41.3,15.642
数据158,158.0,22.129,24.3,2.171
数据159,159.0,20.562,23.3,2.738
数据160,160.0,23.314,27.0,3.686
数据161,161.0,26.844,50.0,23.156
数据162,162.0,40.693,50.0,9.307
数据163,163.0,39.022,50.0,10.978
数据164,164.0,20.864,22.7,1.836
数据165,165.0,21.748,25.0,3.252
数据166,166.0,35.197,50.0,14.803
数据167,167.0,19.796,23.8,4.004
数据168,168.0,21.748,23.8,2.052
数据169,169.0,20.864,22.3,1.436
数据170,170.0,20.864,17.4,3.464
数据171,171.0,20.864,19.1,1.764
数据172,172.0,24.349,23.1,1.249
数据173,173.0,25.915,23.6,2.315
数据174,174.0,25.915,22.6,3.315
数据175,175.0,25.521,29.4,3.879
数据176,176.0,24.097,23.2,0.897
数据177,177.0,24.097,24.6,0.503
数据178,178.0,29.445,29.9,0.455
数据179,179.0,31.192,37.2,6.008
数据180,180.0,39.55,39.8,0.25
数据181,181.0,25.668,36.2,10.532
数据182,182.0,31.192,37.9,6.708
数据183,183.0,27.662,32.5,4.838
数据184,184.0,23.85,26.4,2.55
数据185,185.0,23.85,29.6,5.75
数据186,186.0,40.541,50.0,9.459
数据187,187.0,25.521,32.0,6.479
数据188,188.0,25.521,29.8,4.279
数据189,189.0,27.52,34.9,7.38
数据190,190.0,25.521,37.0,11.479
数据191,191.0,25.521,30.5,4.979
数据192,192.0,30.329,36.4,6.071
数据193,193.0,27.268,31.1,3.832
数据194,194.0,27.268,29.1,1.832
数据195,195.0,42.855,50.0,7.145
数据196,196.0,30.329,33.3,2.971
数据197,197.0,25.521,30.3,4.779
数据198,198.0,27.52,34.6,7.08
数据199,199.0,28.331,34.9,6.569
数据200,200.0,25.521,32.9,7.379
数据201,201.0,25.521,24.1,1.421
数据202,202.0,44.445,42.3,2.145
数据203,203.0,42.855,48.5,5.645
数据204,204.0,42.855,50.0,7.145
数据205,205.0,22.869,22.6,0.269
数据206,206.0,22.869,24.4,1.531
数据207,207.0,20.652,22.5,1.848
数据208,208.0,20.652,24.4,3.748
数据209,209.0,19.057,20.0,0.943
数据210,210.0,20.652,21.7,1.048
数据211,211.0,19.057,19.3,0.243
数据212,212.0,20.652,22.4,1.748
数据213,213.0,22.869,28.1,5.231
数据214,214.0,20.481,23.7,3.219
数据215,215.0,22.869,25.0,2.131
数据216,216.0,20.85,23.3,2.45
数据217,217.0,23.067,28.7,5.633
数据218,218.0,20.85,21.5,0.65
数据219,219.0,23.067,23.0,0.067
数据220,220.0,31.192,26.7,4.492
数据221,221.0,21.633,21.7,0.067
数据222,222.0,27.379,27.5,0.121
数据223,223.0,23.85,30.1,6.25
数据224,224.0,39.55,44.8,5.25
数据225,225.0,42.775,50.0,7.225
数据226,226.0,36.716,37.6,0.884
数据227,227.0,29.373,31.6,2.227
数据228,228.0,31.204,46.7,15.496
数据229,229.0,25.274,31.5,6.226
数据230,230.0,21.633,24.3,2.667
数据231,231.0,29.373,31.7,2.327
数据232,232.0,40.541,41.7,1.159
数据233,233.0,37.732,48.3,10.568
数据234,234.0,23.85,29.0,5.15
数据235,235.0,23.2,24.0,0.8
数据236,236.0,23.85,25.1,1.25
数据237,237.0,29.373,31.5,2.127
数据238,238.0,25.274,23.7,1.574
数据239,239.0,23.85,23.3,0.55
数据240,240.0,29.373,22.0,7.373
数据241,241.0,21.633,20.1,1.533
数据242,242.0,23.2,22.2,1.0
数据243,243.0,25.274,23.7,1.574
数据244,244.0,20.85,17.6,3.25
数据245,245.0,20.85,18.5,2.35
数据246,246.0,22.417,24.3,1.883
数据247,247.0,22.417,20.5,1.917
数据248,248.0,22.417,24.5,2.083
数据249,249.0,23.067,26.2,3.133
数据250,250.0,23.067,24.4,1.333
数据251,251.0,24.491,24.8,0.309
数据252,252.0,26.485,29.6,3.115
数据253,253.0,38.779,42.8,4.021
数据254,254.0,25.274,21.9,3.374
数据255,255.0,25.274,20.9,4.374
数据256,256.0,32.076,44.0,11.924
数据257,257.0,38.887,50.0,11.113
数据258,258.0,31.192,36.0,4.808
数据259,259.0,27.662,30.1,2.438
数据260,260.0,31.085,33.8,2.715
数据261,261.0,33.022,43.1,10.078
数据262,262.0,44.605,48.8,4.195
数据263,263.0,31.192,31.0,0.192
数据264,264.0,31.085,36.5,5.415
数据265,265.0,27.092,22.8,4.292
数据266,266.0,27.52,30.7,3.18
数据267,267.0,44.605,50.0,5.395
数据268,268.0,34.013,43.5,9.487
数据269,269.0,22.417,20.7,1.717
数据270,270.0,23.067,21.1,1.967
数据271,271.0,24.491,25.2,0.709
数据272,272.0,25.061,24.4,0.661
数据273,273.0,36.949,35.2,1.749
数据274,274.0,26.337,32.4,6.063
数据275,275.0,28.654,32.0,3.346
数据276,276.0,29.373,33.2,3.827
数据277,277.0,28.654,33.1,4.446
数据278,278.0,23.85,29.1,5.25
数据279,279.0,30.078,35.1,5.022
数据280,280.0,39.03,45.4,6.37
数据281,281.0,27.268,35.4,8.132
数据282,282.0,34.497,46.0,11.503
数据283,283.0,46.08,50.0,3.92
数据284,284.0,27.268,32.2,4.932
数据285,285.0,27.268,22.0,5.268
数据286,286.0,23.2,20.1,3.1
数据287,287.0,25.274,23.2,2.074
数据288,288.0,23.85,22.3,1.55
数据289,289.0,25.274,24.8,0.474
数据290,290.0,25.061,28.5,3.439
数据291,291.0,28.591,37.3,8.709
数据292,292.0,25.061,27.9,2.839
数据293,293.0,24.491,23.9,0.591
数据294,294.0,24.491,21.7,2.791
数据295,295.0,26.485,28.6,2.115
数据296,296.0,24.491,27.1,2.609
数据297,297.0,20.85,20.3,0.55
数据298,298.0,25.274,22.5,2.774
数据299,299.0,27.268,29.0,1.732
数据300,300.0,27.268,24.8,2.468
数据301,301.0,24.624,22.0,2.624
数据302,302.0,25.274,26.4,1.126
数据303,303.0,27.268,33.1,5.832
数据304,304.0,29.373,36.1,6.727
数据305,305.0,23.85,28.4,4.55
数据306,306.0,29.373,33.4,4.027
数据307,307.0,29.373,28.2,1.173
数据308,308.0,25.061,22.8,2.261
数据309,309.0,23.067,20.3,2.767
数据310,310.0,20.85,16.1,4.75
数据311,311.0,23.067,22.1,0.967
数据312,312.0,20.85,19.4,1.45
数据313,313.0,23.067,21.6,1.467
数据314,314.0,23.067,23.8,0.733
数据315,315.0,20.85,16.2,4.65
数据316,316.0,20.85,17.8,3.05
数据317,317.0,20.85,19.8,1.05
数据318,318.0,22.417,23.1,0.683
数据319,319.0,20.85,21.0,0.15
数据320,320.0,22.869,23.8,0.931
数据321,321.0,22.869,23.1,0.231
数据322,322.0,22.869,20.4,2.469
数据323,323.0,22.219,18.5,3.719
数据324,324.0,22.869,25.0,2.131
数据325,325.0,22.869,24.6,1.731
数据326,326.0,22.869,23.0,0.131
数据327,327.0,20.652,22.2,1.548
数据328,328.0,23.057,19.3,3.757
数据329,329.0,23.057,22.6,0.457
数据330,330.0,23.057,19.8,3.257
数据331,331.0,23.057,17.1,5.957
数据332,332.0,25.274,19.4,5.874
数据333,333.0,23.067,22.2,0.867
数据334,334.0,23.067,20.7,2.367
数据335,335.0,23.067,21.1,1.967
数据336,336.0,23.067,19.5,3.567
数据337,337.0,23.067,18.5,4.567
数据338,338.0,23.067,20.6,2.467
数据339,339.0,23.067,19.0,4.067
数据340,340.0,23.067,18.7,4.367
数据341,341.0,27.268,32.7,5.432
数据342,342.0,24.277,16.5,7.777
数据343,343.0,25.844,23.9,1.944
数据344,344.0,29.373,31.2,1.827
数据345,345.0,20.85,17.5,3.35
数据346,346.0,20.85,17.2,3.65
数据347,347.0,23.85,23.1,0.75
数据348,348.0,25.844,24.5,1.344
数据349,349.0,25.061,26.6,1.539
数据350,350.0,25.061,22.9,2.161
数据351,351.0,23.85,24.1,0.25
数据352,352.0,22.679,18.6,4.079
数据353,353.0,23.85,30.1,6.25
数据354,354.0,22.869,18.2,4.669
数据355,355.0,22.869,20.6,2.269
数据356,356.0,16.049,17.8,1.751
数据357,357.0,21.711,21.7,0.011
数据358,358.0,21.711,22.7,0.989
数据359,359.0,21.711,22.6,0.889
数据360,360.0,21.711,25.0,3.289
数据361,361.0,21.711,19.9,1.811
数据362,362.0,21.711,20.8,0.911
数据363,363.0,21.711,16.8,4.911
数据364,364.0,21.538,21.9,0.362
数据365,365.0,19.65,27.5,7.85
数据366,366.0,18.055,21.9,3.845
数据367,367.0,18.055,23.1,5.045
数据368,368.0,27.084,50.0,22.916
数据369,369.0,27.891,50.0,22.109
数据370,370.0,27.891,50.0,22.109
数据371,371.0,19.65,50.0,30.35
数据372,372.0,27.891,50.0,22.109
数据373,373.0,13.988,13.8,0.188
数据374,374.0,13.988,13.8,0.188
数据375,375.0,20.352,15.0,5.352
数据376,376.0,14.864,13.9,0.964
数据377,377.0,14.864,13.3,1.564
数据378,378.0,13.988,13.1,0.888
数据379,379.0,13.988,10.2,3.788
数据380,380.0,16.459,10.4,6.059
数据381,381.0,14.864,10.9,3.964
数据382,382.0,13.988,11.3,2.688
数据383,383.0,13.988,12.3,1.688
数据384,384.0,13.988,8.8,5.188
数据385,385.0,13.988,7.2,6.788
数据386,386.0,13.988,10.5,3.488
数据387,387.0,13.988,7.4,6.588
数据388,388.0,13.988,10.2,3.788
数据389,389.0,13.988,11.5,2.488
数据390,390.0,17.644,15.1,2.544
数据391,391.0,16.049,23.2,7.151
数据392,392.0,13.988,9.7,4.288
数据393,393.0,15.583,13.8,1.783
数据394,394.0,15.583,12.7,2.883
数据395,395.0,15.583,13.1,2.483
数据396,396.0,13.988,12.5,1.488
数据397,397.0,13.988,8.5,5.488
数据398,398.0,13.988,5.0,8.988
数据399,399.0,13.988,6.3,7.688
数据400,400.0,13.988,5.6,8.388
数据401,401.0,13.988,7.2,6.788
数据402,402.0,13.988,12.1,1.888
数据403,403.0,13.988,8.3,5.688
数据404,404.0,13.988,8.5,5.488
数据405,405.0,13.988,5.0,8.988
数据406,406.0,13.988,11.9,2.088
数据407,407.0,19.65,27.9,8.25
数据408,408.0,14.861,17.2,2.339
数据409,409.0,14.864,27.5,12.636
数据410,410.0,18.055,15.0,3.055
数据411,411.0,14.864,17.2,2.336
数据412,412.0,13.988,17.9,3.912
数据413,413.0,13.988,16.3,2.312
数据414,414.0,13.988,7.0,6.988
数据415,415.0,13.988,7.2,6.788
数据416,416.0,14.864,7.5,7.364
数据417,417.0,13.988,10.4,3.588
数据418,418.0,13.988,8.8,5.188
数据419,419.0,14.864,8.4,6.464
数据420,420.0,15.522,16.7,1.178
数据421,421.0,13.988,14.2,0.212
数据422,422.0,20.116,20.8,0.684
数据423,423.0,13.883,13.4,0.483
数据424,424.0,13.883,11.7,2.183
数据425,425.0,13.883,8.3,5.583
数据426,426.0,13.883,10.2,3.683
数据427,427.0,18.055,10.9,7.155
数据428,428.0,16.049,11.0,5.049
数据429,429.0,16.049,9.5,6.549
数据430,430.0,16.049,14.5,1.549
数据431,431.0,16.049,14.1,1.949
数据432,432.0,20.116,16.1,4.016
数据433,433.0,16.049,14.3,1.749
数据434,434.0,16.049,11.7,4.349
数据435,435.0,16.049,13.4,2.649
数据436,436.0,13.883,9.6,4.283
数据437,437.0,13.883,8.7,5.183
数据438,438.0,13.988,8.4,5.588
数据439,439.0,14.724,12.8,1.924
数据440,440.0,14.724,10.5,4.224
数据441,441.0,16.785,17.1,0.315
数据442,442.0,18.38,18.4,0.02
数据443,443.0,16.785,15.4,1.385
数据444,444.0,16.785,10.8,5.985
数据445,445.0,16.785,11.8,4.985
数据446,446.0,16.785,14.9,1.885
数据447,447.0,18.38,12.6,5.78
数据448,448.0,18.38,14.1,4.28
数据449,449.0,16.785,13.0,3.785
数据450,450.0,14.619,13.4,1.219
数据451,451.0,16.785,15.2,1.585
数据452,452.0,18.38,16.1,2.28
数据453,453.0,18.206,17.8,0.406
数据454,454.0,14.619,14.9,0.281
数据455,455.0,16.785,14.1,2.685
数据456,456.0,14.619,12.7,1.919
数据457,457.0,14.619,13.5,1.119
数据458,458.0,16.785,14.9,1.885
数据459,459.0,21.711,20.0,1.711
数据460,460.0,16.785,16.4,0.385
数据461,461.0,21.711,17.7,4.011
数据462,462.0,21.711,19.5,2.211
数据463,463.0,21.711,20.2,1.511
数据464,464.0,21.711,21.4,0.311
数据465,465.0,20.116,19.9,0.216
数据466,466.0,14.619,19.0,4.381
数据467,467.0,16.785,19.1,2.315
数据468,468.0,16.785,19.1,2.315
数据469,469.0,21.711,20.1,1.611
数据470,470.0,18.38,19.9,1.52
数据471,471.0,21.711,19.6,2.111
数据472,472.0,21.711,23.2,1.489
数据473,473.0,21.711,29.8,8.089
数据474,474.0,15.965,13.8,2.165
数据475,475.0,16.785,13.3,3.485
数据476,476.0,16.785,16.7,0.085
数据477,477.0,15.965,12.0,3.965
数据478,478.0,16.785,14.6,2.185
数据479,479.0,21.711,21.4,0.311
数据480,480.0,21.711,23.0,1.289
数据481,481.0,21.711,23.7,1.989
数据482,482.0,21.711,25.0,3.289
数据483,483.0,21.711,21.8,0.089
数据484,484.0,21.711,20.6,1.111
数据485,485.0,21.711,21.2,0.511
数据486,486.0,19.914,19.1,0.814
数据487,487.0,21.711,20.6,1.111
数据488,488.0,16.375,15.2,1.175
数据489,489.0,14.78,7.0,7.78
数据490,490.0,14.78,8.1,6.68
数据491,491.0,17.195,13.6,3.595
数据492,492.0,18.38,20.1,1.72
数据493,493.0,20.652,21.8,1.148
数据494,494.0,20.652,24.5,3.848
数据495,495.0,20.652,23.1,2.448
数据496,496.0,19.057,19.7,0.643
数据497,497.0,20.652,18.3,2.352
数据498,498.0,20.652,21.2,0.548
数据499,499.0,20.652,17.5,3.152
数据500,500.0,20.652,16.8,3.852
数据501,501.0,24.863,22.4,2.463
数据502,502.0,22.869,20.6,2.269
数据503,503.0,24.863,23.9,0.963
数据504,504.0,24.863,22.0,2.863
数据505,505.0,22.869,11.9,10.969
