,编号,预测值,实际值,偏差
数据167,167.0,14.7,23.8,9.1
数据168,168.0,14.7,23.8,9.1
数据169,169.0,14.7,22.3,7.6
数据170,170.0,14.7,17.4,2.7
数据171,171.0,14.7,19.1,4.4
数据172,172.0,16.6,23.1,6.5
数据173,173.0,16.6,23.6,7.0
数据174,174.0,16.6,22.6,6.0
数据175,175.0,16.6,29.4,12.8
数据176,176.0,16.6,23.2,6.6
数据177,177.0,16.6,24.6,8.0
数据178,178.0,16.6,29.9,13.3
数据179,179.0,17.8,37.2,19.4
数据180,180.0,17.8,39.8,22.0
数据181,181.0,17.8,36.2,18.4
数据182,182.0,17.8,37.9,20.1
数据183,183.0,17.8,32.5,14.7
数据184,184.0,17.8,26.4,8.6
数据185,185.0,17.8,29.6,11.8
数据186,186.0,17.8,50.0,32.2
数据187,187.0,15.2,32.0,16.8
数据188,188.0,15.2,29.8,14.6
数据189,189.0,15.2,34.9,19.7
数据190,190.0,15.2,37.0,21.8
数据191,191.0,15.2,30.5,15.3
数据192,192.0,15.2,36.4,21.2
数据193,193.0,15.6,31.1,15.5
数据194,194.0,15.6,29.1,13.5
数据195,195.0,14.4,50.0,35.6
数据196,196.0,12.6,33.3,20.7
数据197,197.0,12.6,30.3,17.7
数据198,198.0,12.6,34.6,22.0
数据199,199.0,17.0,34.9,17.9
数据200,200.0,17.0,32.9,15.9
数据201,201.0,14.7,24.1,9.4
数据202,202.0,14.7,42.3,27.6
数据203,203.0,14.7,48.5,33.8
数据204,204.0,14.7,50.0,35.3
数据205,205.0,18.6,22.6,4.0
数据206,206.0,18.6,24.4,5.8
数据207,207.0,18.6,22.5,3.9
数据208,208.0,18.6,24.4,5.8
数据209,209.0,18.6,20.0,1.4
数据210,210.0,18.6,21.7,3.1
数据211,211.0,18.6,19.3,0.7
数据212,212.0,18.6,22.4,3.8
数据213,213.0,18.6,28.1,9.5
数据214,214.0,18.6,23.7,5.1
数据215,215.0,18.6,25.0,6.4
数据216,216.0,16.4,23.3,6.9
数据217,217.0,16.4,28.7,12.3
数据218,218.0,16.4,21.5,5.1
数据219,219.0,16.4,23.0,6.6
数据220,220.0,17.4,26.7,9.3
数据221,221.0,17.4,21.7,4.3
数据222,222.0,17.4,27.5,10.1
数据223,223.0,17.4,30.1,12.7
数据224,224.0,17.4,44.8,27.4
数据225,225.0,17.4,50.0,32.6
数据226,226.0,17.4,37.6,20.2
数据227,227.0,17.4,31.6,14.2
数据228,228.0,17.4,46.7,29.3
数据229,229.0,17.4,31.5,14.1
数据230,230.0,17.4,24.3,6.9
数据231,231.0,17.4,31.7,14.3
数据232,232.0,17.4,41.7,24.3
数据233,233.0,17.4,48.3,30.9
数据234,234.0,17.4,29.0,11.6
数据235,235.0,17.4,24.0,6.6
数据236,236.0,17.4,25.1,7.7
数据237,237.0,17.4,31.5,14.1
数据238,238.0,16.6,23.7,7.1
数据239,239.0,16.6,23.3,6.7
数据240,240.0,16.6,22.0,5.4
数据241,241.0,16.6,20.1,3.5
数据242,242.0,16.6,22.2,5.6
数据243,243.0,16.6,23.7,7.1
数据244,244.0,19.1,17.6,1.5
数据245,245.0,19.1,18.5,0.6
数据246,246.0,19.1,24.3,5.2
数据247,247.0,19.1,20.5,1.4
数据248,248.0,19.1,24.5,5.4
数据249,249.0,19.1,26.2,7.1
数据250,250.0,19.1,24.4,5.3
数据251,251.0,19.1,24.8,5.7
数据252,252.0,19.1,29.6,10.5
数据253,253.0,19.1,42.8,23.7
数据254,254.0,16.4,21.9,5.5
数据255,255.0,16.4,20.9,4.5
数据256,256.0,15.9,44.0,28.1
数据257,257.0,13.0,50.0,37.0
数据258,258.0,13.0,36.0,23.0
数据259,259.0,13.0,30.1,17.1
数据260,260.0,13.0,33.8,20.8
数据261,261.0,13.0,43.1,30.1
数据262,262.0,13.0,48.8,35.8
数据263,263.0,13.0,31.0,18.0
数据264,264.0,13.0,36.5,23.5
数据265,265.0,13.0,22.8,9.8
数据266,266.0,13.0,30.7,17.7
数据267,267.0,13.0,50.0,37.0
数据268,268.0,13.0,43.5,30.5
数据269,269.0,18.6,20.7,2.1
数据270,270.0,18.6,21.1,2.5
数据271,271.0,18.6,25.2,6.6
数据272,272.0,18.6,24.4,5.8
数据273,273.0,18.6,35.2,16.6
数据274,274.0,17.6,32.4,14.8
数据275,275.0,17.6,32.0,14.4
数据276,276.0,17.6,33.2,15.6
数据277,277.0,17.6,33.1,15.5
数据278,278.0,17.6,29.1,11.5
数据279,279.0,14.9,35.1,20.2
数据280,280.0,14.9,45.4,30.5
数据281,281.0,14.9,35.4,20.5
数据282,282.0,14.9,46.0,31.1
数据283,283.0,13.6,50.0,36.4
数据284,284.0,15.3,32.2,16.9
数据285,285.0,15.3,22.0,6.7
数据286,286.0,18.2,20.1,1.9
数据287,287.0,16.6,23.2,6.6
数据288,288.0,16.6,22.3,5.7
数据289,289.0,16.6,24.8,8.2
数据290,290.0,19.2,28.5,9.3
数据291,291.0,19.2,37.3,18.1
数据292,292.0,19.2,27.9,8.7
数据293,293.0,16.0,23.9,7.9
数据294,294.0,16.0,21.7,5.7
数据295,295.0,16.0,28.6,12.6
数据296,296.0,16.0,27.1,11.1
数据297,297.0,16.0,20.3,4.3
数据298,298.0,14.8,22.5,7.7
数据299,299.0,14.8,29.0,14.2
数据300,300.0,14.8,24.8,10.0
数据301,301.0,16.1,22.0,5.9
数据302,302.0,16.1,26.4,10.3
数据303,303.0,16.1,33.1,17.0
数据304,304.0,18.4,36.1,17.7
数据305,305.0,18.4,28.4,10.0
数据306,306.0,18.4,33.4,15.0
数据307,307.0,18.4,28.2,9.8
数据308,308.0,18.4,22.8,4.4
数据309,309.0,18.4,20.3,1.9
数据310,310.0,18.4,16.1,2.3
数据311,311.0,18.4,22.1,3.7
数据312,312.0,18.4,19.4,1.0
数据313,313.0,18.4,21.6,3.2
数据314,314.0,18.4,23.8,5.4
数据315,315.0,18.4,16.2,2.2
数据316,316.0,18.4,17.8,0.6
数据317,317.0,18.4,19.8,1.4
数据318,318.0,18.4,23.1,4.7
数据319,319.0,18.4,21.0,2.6
数据320,320.0,19.6,23.8,4.2
数据321,321.0,19.6,23.1,3.5
数据322,322.0,19.6,20.4,0.8
数据323,323.0,19.6,18.5,1.1
数据324,324.0,19.6,25.0,5.4
数据325,325.0,19.6,24.6,5.0
数据326,326.0,19.6,23.0,3.4
数据327,327.0,19.6,22.2,2.6
数据328,328.0,16.9,19.3,2.4
数据329,329.0,16.9,22.6,5.7
数据330,330.0,16.9,19.8,2.9
数据331,331.0,16.9,17.1,0.2
数据332,332.0,16.9,19.4,2.5
数据333,333.0,20.2,22.2,2.0
数据334,334.0,20.2,20.7,0.5
数据335,335.0,20.2,21.1,0.9
数据336,336.0,20.2,19.5,0.7
数据337,337.0,20.2,18.5,1.7
数据338,338.0,20.2,20.6,0.4
数据339,339.0,20.2,19.0,1.2
数据340,340.0,20.2,18.7,1.5
数据341,341.0,15.5,32.7,17.2
数据342,342.0,15.9,16.5,0.6
数据343,343.0,17.6,23.9,6.3
数据344,344.0,17.6,31.2,13.6
数据345,345.0,18.8,17.5,1.3
数据346,346.0,18.8,17.2,1.6
数据347,347.0,17.9,23.1,5.2
数据348,348.0,17.0,24.5,7.5
数据349,349.0,19.7,26.6,6.9
数据350,350.0,19.7,22.9,3.2
数据351,351.0,18.3,24.1,5.8
数据352,352.0,18.3,18.6,0.3
数据353,353.0,17.0,30.1,13.1
数据354,354.0,22.0,18.2,3.8
数据355,355.0,22.0,20.6,1.4
数据356,356.0,20.2,17.8,2.4
数据357,357.0,20.2,21.7,1.5
数据358,358.0,20.2,22.7,2.5
数据359,359.0,20.2,22.6,2.4
数据360,360.0,20.2,25.0,4.8
数据361,361.0,20.2,19.9,0.3
数据362,362.0,20.2,20.8,0.6
数据363,363.0,20.2,16.8,3.4
数据364,364.0,20.2,21.9,1.7
数据365,365.0,20.2,27.5,7.3
数据366,366.0,20.2,21.9,1.7
数据367,367.0,20.2,23.1,2.9
数据368,368.0,20.2,50.0,29.8
数据369,369.0,20.2,50.0,29.8
数据370,370.0,20.2,50.0,29.8
数据371,371.0,20.2,50.0,29.8
数据372,372.0,20.2,50.0,29.8
数据373,373.0,20.2,13.8,6.4
数据374,374.0,20.2,13.8,6.4
数据375,375.0,20.2,15.0,5.2
数据376,376.0,20.2,13.9,6.3
数据377,377.0,20.2,13.3,6.9
数据378,378.0,20.2,13.1,7.1
数据379,379.0,20.2,10.2,10.0
数据380,380.0,20.2,10.4,9.8
数据381,381.0,20.2,10.9,9.3
数据382,382.0,20.2,11.3,8.9
数据383,383.0,20.2,12.3,7.9
数据384,384.0,20.2,8.8,11.4
数据385,385.0,20.2,7.2,13.0
数据386,386.0,20.2,10.5,9.7
数据387,387.0,20.2,7.4,12.8
数据388,388.0,20.2,10.2,10.0
数据389,389.0,20.2,11.5,8.7
数据390,390.0,20.2,15.1,5.1
数据391,391.0,20.2,23.2,3.0
数据392,392.0,20.2,9.7,10.5
数据393,393.0,20.2,13.8,6.4
数据394,394.0,20.2,12.7,7.5
数据395,395.0,20.2,13.1,7.1
数据396,396.0,20.2,12.5,7.7
数据397,397.0,20.2,8.5,11.7
数据398,398.0,20.2,5.0,15.2
数据399,399.0,20.2,6.3,13.9
数据400,400.0,20.2,5.6,14.6
数据401,401.0,20.2,7.2,13.0
数据402,402.0,20.2,12.1,8.1
数据403,403.0,20.2,8.3,11.9
数据404,404.0,20.2,8.5,11.7
数据405,405.0,20.2,5.0,15.2
数据406,406.0,20.2,11.9,8.3
数据407,407.0,20.2,27.9,7.7
数据408,408.0,20.2,17.2,3.0
数据409,409.0,20.2,27.5,7.3
数据410,410.0,20.2,15.0,5.2
数据411,411.0,20.2,17.2,3.0
数据412,412.0,20.2,17.9,2.3
数据413,413.0,20.2,16.3,3.9
数据414,414.0,20.2,7.0,13.2
数据415,415.0,20.2,7.2,13.0
数据416,416.0,20.2,7.5,12.7
数据417,417.0,20.2,10.4,9.8
数据418,418.0,20.2,8.8,11.4
数据419,419.0,20.2,8.4,11.8
数据420,420.0,20.2,16.7,3.5
数据421,421.0,20.2,14.2,6.0
数据422,422.0,20.2,20.8,0.6
数据423,423.0,20.2,13.4,6.8
数据424,424.0,20.2,11.7,8.5
数据425,425.0,20.2,8.3,11.9
数据426,426.0,20.2,10.2,10.0
数据427,427.0,20.2,10.9,9.3
数据428,428.0,20.2,11.0,9.2
数据429,429.0,20.2,9.5,10.7
数据430,430.0,20.2,14.5,5.7
数据431,431.0,20.2,14.1,6.1
数据432,432.0,20.2,16.1,4.1
数据433,433.0,20.2,14.3,5.9
数据434,434.0,20.2,11.7,8.5
数据435,435.0,20.2,13.4,6.8
数据436,436.0,20.2,9.6,10.6
数据437,437.0,20.2,8.7,11.5
数据438,438.0,20.2,8.4,11.8
数据439,439.0,20.2,12.8,7.4
数据440,440.0,20.2,10.5,9.7
数据441,441.0,20.2,17.1,3.1
数据442,442.0,20.2,18.4,1.8
数据443,443.0,20.2,15.4,4.8
数据444,444.0,20.2,10.8,9.4
数据445,445.0,20.2,11.8,8.4
数据446,446.0,20.2,14.9,5.3
数据447,447.0,20.2,12.6,7.6
数据448,448.0,20.2,14.1,6.1
数据449,449.0,20.2,13.0,7.2
数据450,450.0,20.2,13.4,6.8
数据451,451.0,20.2,15.2,5.0
数据452,452.0,20.2,16.1,4.1
数据453,453.0,20.2,17.8,2.4
数据454,454.0,20.2,14.9,5.3
数据455,455.0,20.2,14.1,6.1
数据456,456.0,20.2,12.7,7.5
数据457,457.0,20.2,13.5,6.7
数据458,458.0,20.2,14.9,5.3
数据459,459.0,20.2,20.0,0.2
数据460,460.0,20.2,16.4,3.8
数据461,461.0,20.2,17.7,2.5
数据462,462.0,20.2,19.5,0.7
数据463,463.0,20.2,20.2,0.0
数据464,464.0,20.2,21.4,1.2
数据465,465.0,20.2,19.9,0.3
数据466,466.0,20.2,19.0,1.2
数据467,467.0,20.2,19.1,1.1
数据468,468.0,20.2,19.1,1.1
数据469,469.0,20.2,20.1,0.1
数据470,470.0,20.2,19.9,0.3
数据471,471.0,20.2,19.6,0.6
数据472,472.0,20.2,23.2,3.0
数据473,473.0,20.2,29.8,9.6
数据474,474.0,20.2,13.8,6.4
数据475,475.0,20.2,13.3,6.9
数据476,476.0,20.2,16.7,3.5
数据477,477.0,20.2,12.0,8.2
数据478,478.0,20.2,14.6,5.6
数据479,479.0,20.2,21.4,1.2
数据480,480.0,20.2,23.0,2.8
数据481,481.0,20.2,23.7,3.5
数据482,482.0,20.2,25.0,4.8
数据483,483.0,20.2,21.8,1.6
数据484,484.0,20.2,20.6,0.4
数据485,485.0,20.2,21.2,1.0
数据486,486.0,20.2,19.1,1.1
数据487,487.0,20.2,20.6,0.4
数据488,488.0,20.1,15.2,4.9
数据489,489.0,20.1,7.0,13.1
数据490,490.0,20.1,8.1,12.0
数据491,491.0,20.1,13.6,6.5
数据492,492.0,20.1,20.1,0.0
数据493,493.0,19.2,21.8,2.6
数据494,494.0,19.2,24.5,5.3
数据495,495.0,19.2,23.1,3.9
数据496,496.0,19.2,19.7,0.5
数据497,497.0,19.2,18.3,0.9
数据498,498.0,19.2,21.2,2.0
数据499,499.0,19.2,17.5,1.7
数据500,500.0,19.2,16.8,2.4
数据501,501.0,21.0,22.4,1.4
数据502,502.0,21.0,20.6,0.4
数据503,503.0,21.0,23.9,2.9
数据504,504.0,21.0,22.0,1.0
数据505,505.0,21.0,11.9,9.1
